STATUS,START,END,SIZE,COMMIT_START,COMMIT_END,NUM_DIFF_EXCEPTION,EXCEPTION_:_SIZE
NO_POM,0,230,231,3db476f1a2b6826d0aee4e9937cb73ae14cd7fae,62659b716c5ea5b9701929a3a46ec6366f610fea,0, 
BUILD_FAILURE,231,1019,789,60af082ea2ae229c782e560e45c260ff48a3c0c4,e9a93238125ddc73936679cb53a9a1254e13ff42,1,ModelParseException1:789;
BUILD_SUCCESSFUL,1020,1218,199,abe5a2ce99615be906e37532d68f9911e34910c2,b3b831ec31c01c88d1b909cb8991d1cf5d7cfa39,0, 
BUILD_FAILURE,1219,3712,2494,7ff6992a044b56d73569cd297f23ab6172ca7fd4,d783c5fc419c365d8c8799148db122122727212a,13,DependencyResolutionException1:4;ArtifactResolutionException2:1;DependencyResolutionException3:5;ModelParseException4:498;ArtifactResolutionException5:353;ModelParseException6:766;ArtifactResolutionException7:4;ModelParseException8:14;PluginParameterException9:1;ProjectBuildingException10:475;ArtifactResolutionException11:1;ProjectBuildingException12:314;PluginParameterException13:58;
BUILD_SUCCESSFUL,3713,3803,91,b4c041a567b0dd6a389e4324dd295357f895469a,e02b8ed1e4761e30fd3070fa78ac56a60ea5f8e5,0, 
BUILD_FAILURE,3804,3804,1,8caa84a288826a5dfcfea7014e98210fd0d93b54,8caa84a288826a5dfcfea7014e98210fd0d93b54,1,ArtifactResolutionException1:1;
BUILD_SUCCESSFUL,3805,3921,117,35fe47e7dcc0f70b8e3cc5c1e675ca2d0da62cfc,0dd744766c334fa91c6578b114ab81c344eb84aa,0, 
BUILD_FAILURE,3922,6709,2788,ed662b21821a0f4832c85b017ece61f2a7135e2d,3a689d4f4d635d58c76caf4adc90bd322b6b09a5,58,DependencyResolutionException1:391;ArtifactResolutionException2:10;DependencyResolutionException3:4;CompilationFailureException4:5;PluginParameterException5:4;DependencyResolutionException6:59;PluginParameterException7:9;DependencyResolutionException8:1;PluginParameterException9:82;DependencyResolutionException10:40;CompilationFailureException11:1;DependencyResolutionException12:1;ArtifactResolutionException13:2;DependencyResolutionException14:30;ArtifactResolutionException15:1;DependencyResolutionException16:8;PluginParameterException17:12;CompilationFailureException18:1;PluginParameterException19:24;DependencyResolutionException20:53;PluginParameterException21:28;DependencyResolutionException22:64;ArtifactResolutionException23:16;DependencyResolutionException24:576;ArtifactResolutionException25:1;DependencyResolutionException26:204;ProjectBuildingException27:1;DependencyResolutionException28:41;ProjectBuildingException29:2;ArtifactResolutionException30:13;DependencyResolutionException31:9;CompilationFailureException32:3;DependencyResolutionException33:34;ProjectBuildingException34:1;DependencyResolutionException35:4;ModelParseException36:3;CompilationFailureException37:1;DependencyResolutionException38:10;ArtifactResolutionException39:91;DependencyResolutionException40:18;ArtifactResolutionException41:5;DependencyResolutionException42:23;ProjectBuildingException43:1;DependencyResolutionException44:61;ProjectBuildingException45:1;DependencyResolutionException46:9;ProjectBuildingException47:2;DependencyResolutionException48:4;ProjectBuildingException49:7;DependencyResolutionException50:310;ArtifactResolutionException51:1;DependencyResolutionException52:117;ArtifactResolutionException53:1;DependencyResolutionException54:76;ArtifactResolutionException55:105;ModelParseException56:1;ArtifactResolutionException57:73;DependencyResolutionException58:133;
BUILD_SUCCESSFUL,6710,6720,11,a89e664905fb48af5408ae94ca707c8b045a26b8,2f6a2dc06625a9f332100f952a6cdff9a03a5ad6,0, 
BUILD_FAILURE,6721,6721,1,7d00c7923c348f8e84a81ad7210ad3a28c29c7f4,7d00c7923c348f8e84a81ad7210ad3a28c29c7f4,1,MojoFailureException1:1;
BUILD_SUCCESSFUL,6722,6726,5,805b15fea2faaa5195de251087ba5a005ec1a87d,38e6b15ebc27143618d196f34f1504e5d81f8532,0, 
BUILD_FAILURE,6727,6727,1,75456d77ba1b61eb3f2d30910971bbf6288976fe,75456d77ba1b61eb3f2d30910971bbf6288976fe,1,MojoFailureException1:1;
BUILD_SUCCESSFUL,6728,6845,118,0638d3d8a088746a1a6e95fc8695151033f6b741,192af339c605550cd7bf8b7f0f27a78b8900450b,0, 
BUILD_FAILURE,6846,6847,2,4611e43a1599c8f2cf94a783cdaba72679490f7c,a37996d04b4a247a5592bfa54a2b3d34f44d228a,1,ProjectBuildingException1:2;
BUILD_SUCCESSFUL,6848,6867,20,219616a5572dceffe2f8b907743a0196c4ffe015,34aceea2eba969c5aa6e40d132188ca2796a9d3f,0, 
BUILD_FAILURE,6868,6868,1,92f4a49a6bdd483cde12353ea6eb70d82bc28671,92f4a49a6bdd483cde12353ea6eb70d82bc28671,1,DependencyResolutionException1:1;
BUILD_SUCCESSFUL,6869,6892,24,f4e6bfebd39cbafd103b4e316a6800ff1f6a2323,557f0a53738aaa86d873aa56b1a31d32b7e5179c,0, 
BUILD_FAILURE,6893,6916,24,5d3a525e2830ff5bd05f49354484f46692d4ba36,367765528481c3c3c29be61ea279d52ac0acdc86,4,ProjectBuildingException1:1;DependencyResolutionException2:19;ModelParseException3:1;DependencyResolutionException4:3;
BUILD_SUCCESSFUL,6917,6926,10,6c591d981d36d474c15def306c2794fb39020c7b,c303c49d7173436cab06ebd2f22e7c44a01c5fc9,0, 
BUILD_FAILURE,6927,7917,991,dd564ae3bd857e807de498a3ce4732ceb6ac79c7,1aaf43d74230f832413888062be33274729a9a89,1,ArtifactResolutionException1:991;
BUILD_SUCCESSFUL,7918,7927,10,00c3da7030bf046e0eb0a18ae3dd801db46324f3,51b61208104a693ac86a5a4fb63d1b888d1f5058,0, 
BUILD_FAILURE,7928,7948,21,595057118002622bceff774e76bee33f0f6be3ae,dc92f346104249da7ff785cda8b40eefb291c785,1,ArtifactResolutionException1:21;
BUILD_SUCCESSFUL,7949,7963,15,12272336bd41f25a48ba200b9d407d9423e4a3f3,9644d27e64fdc177b6d5fe74e494d148ef2cfd40,0, 
BUILD_FAILURE,7964,7995,32,e33b97e832dbf19617a1b26bc545aea75f0e2fb4,d2728ba0cde2fccfd2a98f636953a451cd38229a,1,ArtifactResolutionException1:32;
BUILD_SUCCESSFUL,7996,8024,29,3ba6522433880c1eefaafd02b08a4f7e77a84fc9,7d6257748e3c91959d732dad3726ad967c8c0c94,0, 
BUILD_FAILURE,8025,8028,4,777bae36e88f09379c20eae17a6f34ee47304d25,e567bac9d9d517ff57c92fec08f394e5496521db,1,ArtifactResolutionException1:4;
BUILD_SUCCESSFUL,8029,8055,27,6b94e17b96e917630b2dcbeaa19bc6aeed19acb7,b8874319f434ca899511902a7c03dc33992473a9,0, 
BUILD_FAILURE,8056,8057,2,4093717ff17b9dc43d46f5ebf8544b84f9a6f354,bd2ec167851c1dbd1dcef4c87f235c7c7800f889,1,ArtifactResolutionException1:2;
BUILD_SUCCESSFUL,8058,8167,110,58dfb3d318a8eb0c13119a5aa6974d24a0b0d885,f2c08ee3024db28f81f39b7c360b67dd9d401f35,0, 
BUILD_FAILURE,8168,8171,4,974bf9d27afaedfd4af63f10346ebcc97fddca32,046666a7154ca2301c7f14a569d0298e53e82851,1,ArtifactResolutionException1:4;
BUILD_SUCCESSFUL,8172,8749,578,35861586792872947d7c293c023e0a0359dc7da3,864e18d531c36186d4b2e1c3158294a78b2c1587,0, 
BUILD_FAILURE,8750,8756,7,af7dffd4b68270914b9715f950b505f98fa72859,c79ae58d0b559de331ab414dfe4e0e1a0987e023,1,DependencyResolutionException1:7;
BUILD_SUCCESSFUL,8757,8770,14,6a227fdf4c3fc8f3d228fa893c59d45057623f02,c15263a465ce44e45627f689d2931953ec7d565b,0, 
BUILD_FAILURE,8771,8771,1,f360758345aeae7572a41e95fb0c0f3ac4d23e13,f360758345aeae7572a41e95fb0c0f3ac4d23e13,1,DependencyResolutionException1:1;
BUILD_SUCCESSFUL,8772,8808,37,4c12417114b17cfce4728594edbf0d41b1c44737,2f453c69b97e3a3ac4ba109088d2e3123a533156,0, 
BUILD_FAILURE,8809,8933,125,003853ae35bda03fb4e033b1602213262c6a7a78,731fa826e575fa2e52158b1a08e91a5b47ad07c9,6,DependencyResolutionException1:66;ModelParseException2:2;DependencyResolutionException3:5;MojoExecutionException4:48;DependencyResolutionException5:1;MojoExecutionException6:3;
BUILD_SUCCESSFUL,8934,8973,40,1e41eff172fba89eb5fea1d64bae70c32239a606,86004d6022958e19ddafeb99766b7babdafd5567,0, 
BUILD_FAILURE,8974,8991,18,af70de4b967bbc352bed1e57491f66c2f4723530,19492b485a1a9ec26aadc22b51aa058ce1c405bd,1,MojoExecutionException1:18;
BUILD_SUCCESSFUL,8992,8992,1,f95ab2e7cdb488442ab923abe6ec856efc993dd3,f95ab2e7cdb488442ab923abe6ec856efc993dd3,0, 
BUILD_FAILURE,8993,8993,1,23bd8d98a66ea7bc078a96447ee7ed8555ceaaf0,23bd8d98a66ea7bc078a96447ee7ed8555ceaaf0,1,MojoFailureException1:1;
BUILD_SUCCESSFUL,8994,9039,46,d6544c4814a91c15d67a05d60e18f91a72fc57a9,2f97f96fb15ed41259eac984a256a1e130936832,0, 
BUILD_FAILURE,9040,9056,17,176a85f43c6a69b042024f2daebff25376930ce2,720bef7df7bb2c7f7e19930d66b00518b50a3ed8,1,MojoExecutionException1:17;
BUILD_SUCCESSFUL,9057,9070,14,40ecab772cfd5412d0b5464abec8a477bbdea8c3,ebf2e4ddeaee2c7634a66b7c08bf4bf197768896,0, 
BUILD_FAILURE,9071,9075,5,bd4c38b7fda9adbf33e008da25cfc690e87c785a,2d7069b6e35844207b77d59674e87660fd0061a9,1,MojoFailureException1:5;
BUILD_SUCCESSFUL,9076,9140,65,34a8c6ce3b54ff28cdf682df2699b2849c717182,50a24e5418a5eecfec5caa2502c59be3bd1b67a0,0, 
BUILD_FAILURE,9141,9169,29,380dc43a7abb6878962e4c133bd9c02e4330dd23,2fd4d482e881862deb93afbbebcf5f762e74f1e1,1,ArtifactResolutionException1:29;
BUILD_SUCCESSFUL,9170,9203,34,11f46bd4c4dfe51514e60fbb9f807bcbb07a14a9,f35698c790da5329590d1ceba0502c02f942efdf,0, 
BUILD_FAILURE,9204,9205,2,b610e6d045311c08cce9159f43c43fb74679f2b9,e698ce6e67f10df1d830d22e9b0143c6b5549f79,1,DependencyResolutionException1:2;
BUILD_SUCCESSFUL,9206,9248,43,93d07bdf9967303e8ff41b8f8030c72ecf59ce1c,3bf568eda60b9f5f5fab21599f7c2d2e662a6ca1,0, 
BUILD_FAILURE,9249,9249,1,09961c3150b1a9ddaa88760d3a91f86542e5827d,09961c3150b1a9ddaa88760d3a91f86542e5827d,1,CompilationFailureException1:1;
BUILD_SUCCESSFUL,9250,9285,36,ccc7cb3abcd77a9cc1583cd823ae821957145b65,969a35dd428ba0d821f9b03b72cb1b7fb54751a0,0, 
BUILD_FAILURE,9286,9426,141,fe4751605c21199a3569c7f0051380412732e662,35c49f7a5e82c41e12714b8238ce1f165c6ac022,1,MojoFailureException1:141;
